code,name,desc,date
601633,长城汽车,接近前低25.2577/25.0898,20250120
603605,珀莱雅,接近前低82.11,20250121
600511,国药股份,接近前低30.97,20250121
002737,葵花药业,接近前低18.22,20250121
002299,圣农发展,接近前低14.1162/14.0795,20250121
688066,航天宏图,接近前低53.201/53.4006/53.5,20230828
002460,赣锋锂业,接近前低34.6772,20250121
000001,平安银行,接近前低11.24/11.42/11.31,20250121
603787,新日股份,接近前低9.9329/9.989/10.01,20250121
002271,东方雨虹,接近前低12.18,20250121
600660,福耀玻璃,接近前低58.91,20250121
603288,海天味业,接近前低41.82,20250121
600496,精工钢构,接近前低2.8516,20250121
601633,长城汽车,接近前低25.2577/25.0898,20250121
600511,国药股份,接近前低30.97,20250122
000999,华润三九,接近前低43.2094/43.6057/43.8277,20250122
000799,酒鬼酒,接近前低47.4475/47.3305,20250122
000980,众泰汽车,接近前低2.13,20250122
002959,小熊电器,接近前低42.47,20250122
002812,恩捷股份,接近前低28.92,20250122
600199,金种子酒,接近前低11.4/11.3,20250122
002466,天齐锂业,接近前低31.28/31.5,20250122
603659,璞泰来,接近前低14.33,20250122
000661,长春高新,接近前低91.57,20250122
600763,通策医疗,接近前低40.58,20250122
600436,片仔癀,接近前低202.9,20250122
600809,山西汾酒,接近前低173.2,20250122
000333,美的集团,接近前低72.65,20250122
600300,维维股份,接近前低2.9504,20250122
000538,云南白药,接近前低55.96,20250122
000860,顺鑫农业,接近前低17.08,20250122
600529,山东药玻,接近前低24.0/24.0,20250122
601398,工商银行,接近前低6.4532,20250122
002271,东方雨虹,接近前低12.18,20250122
000818,航锦科技,接近前低13.8,20250122
600975,新五丰,接近前低5.64,20250122
000401,冀东水泥,接近前低5.0,20250122
002216,三全食品,接近前低11.11,20250122
600600,青岛啤酒,接近前低69.15,20250122
600511,国药股份,接近前低30.97,20250123
000999,华润三九,接近前低43.6057/43.8277,20250123
002299,圣农发展,接近前低14.1162/14.0795,20250123
000799,酒鬼酒,接近前低47.4475/47.3305,20250123
000980,众泰汽车,接近前低2.08,20250123
002959,小熊电器,接近前低42.47,20250123
002812,恩捷股份,接近前低28.92/28.78,20250123
600199,金种子酒,接近前低11.4/11.3,20250123
002466,天齐锂业,接近前低31.28,20250123
603659,璞泰来,接近前低14.33,20250123
600436,片仔癀,接近前低202.9,20250123
002594,比亚迪,接近前低278.88,20250123
000333,美的集团,接近前低72.65,20250123
000001,平安银行,接近前低11.24,20250123
600300,维维股份,接近前低2.9504,20250123
000860,顺鑫农业,接近前低17.08,20250123
600529,山东药玻,接近前低24.0/24.0,20250123
603787,新日股份,接近前低9.9329,20250123
601398,工商银行,接近前低6.4532,20250123
002714,牧原股份,接近前低36.7188/36.8656/36.3369,20250123
603916,苏博特,接近前低7.2057/7.2937,20250123
002271,东方雨虹,接近前低12.18,20250123
000895,双汇发展,接近前低24.8647/24.8647,20250123
600305,恒顺醋业,接近前低7.4701/7.47,20250123
000401,冀东水泥,接近前低5.0,20250123
002216,三全食品,接近前低11.2579/11.2867/11.11,20250123
002918,蒙娜丽莎,接近前低9.2338,20250123
600486,扬农化工,接近前低54.9823,20250123
600600,青岛啤酒,接近前低69.15,20250123
002407,多氟多,接近前低11.12,20250123
002884,凌霄泵业,接近前低17.73,20250123
000810,创维数字,接近前低12.1338,20250123
601633,长城汽车,接近前低24.36,20250123
601015,陕西黑猫,接近前低3.09,20250205
600779,水井坊,接近前低44.81,20250205
002959,小熊电器,接近前低41.5/41.6,20250205
002812,恩捷股份,接近前低28.92/28.78,20250205
600436,片仔癀,接近前低202.9,20250205
600809,山西汾酒,接近前低167.7281,20250205
002460,赣锋锂业,接近前低32.9288/32.97/32.93,20250205
600529,山东药玻,接近前低23.7086/23.7476/23.7252,20250205
002271,东方雨虹,接近前低11.97,20250205
600486,扬农化工,接近前低53.0,20250205
002884,凌霄泵业,接近前低17.33,20250205
601066,中信建投,接近前低23.63,20250205
000810,创维数字,接近前低12.1338/12.0939,20250205
601633,长城汽车,接近前低24.36,20250205
600779,水井坊,接近前低44.81,20250206
002304,洋河股份,接近前低76.8178,20250206
600199,金种子酒,接近前低11.2,20250206
002422,科伦药业,接近前低27.1,20250206
600529,山东药玻,接近前低23.7086/23.7476/23.3592/23.7252,20250206
002714,牧原股份,接近前低36.3369,20250206
002216,三全食品,接近前低11.11/11.13,20250206
600486,扬农化工,接近前低52.42/53.0,20250206
000651,格力电器,接近前低43.55,20250206
603345,安井食品,接近前低72.5126,20250206
002304,洋河股份,接近前低76.8178,20250207
000001,平安银行,接近前低11.24/11.42/11.31,20250207
002714,牧原股份,接近前低36.3369,20250207
000895,双汇发展,接近前低24.8647/24.8647/24.67,20250207
600660,福耀玻璃,接近前低56.4/56.85,20250207
000401,冀东水泥,接近前低4.77,20250207
002216,三全食品,接近前低11.11/11.13,20250207
600486,扬农化工,接近前低52.42,20250207
000651,格力电器,接近前低43.55,20250207
603529,爱玛科技,接近前低39.06,20250210
000333,美的集团,接近前低72.65,20250210
000001,平安银行,接近前低11.42/11.31,20250210
002714,牧原股份,接近前低36.7188/36.3369,20250210
000895,双汇发展,接近前低24.8647/24.8647,20250210
600486,扬农化工,接近前低51.7/52.42,20250210
000651,格力电器,接近前低43.55,20250210
002884,凌霄泵业,接近前低17.33,20250210
002714,牧原股份,接近前低36.3369,20250211
000895,双汇发展,接近前低24.8647/24.8647/24.67,20250211
600660,福耀玻璃,接近前低56.85,20250211
600486,扬农化工,接近前低52.42,20250211
000651,格力电器,接近前低43.55,20250211
600436,片仔癀,接近前低202.9,20250212
002714,牧原股份,接近前低35.72,20250212
000895,双汇发展,接近前低24.8647/24.8647/24.67,20250212
600660,福耀玻璃,接近前低56.4/56.85,20250212
600486,扬农化工,接近前低51.6197/51.7/52.42,20250212
000651,格力电器,接近前低43.55,20250212
601699,潞安环能,接近前低12.28,20250213
002737,葵花药业,接近前低18.22,20250213
002422,科伦药业,接近前低27.1,20250213
600436,片仔癀,接近前低202.9,20250213
000333,美的集团,接近前低72.65,20250213
600660,福耀玻璃,接近前低56.4/56.85/56.55,20250213
000651,格力电器,接近前低43.55/43.31,20250213
601699,潞安环能,接近前低12.28,20250214
002737,葵花药业,接近前低18.22,20250214
600660,福耀玻璃,接近前低56.4/56.85/56.55,20250214
002884,凌霄泵业,接近前低17.73,20250214
601699,潞安环能,接近前低12.28,20250214
002737,葵花药业,接近前低18.22,20250214
600660,福耀玻璃,接近前低56.4/56.85/56.55,20250214
002884,凌霄泵业,接近前低17.73,20250214
601699,潞安环能,接近前低12.28,20250214
002737,葵花药业,接近前低18.22,20250214
600660,福耀玻璃,接近前低56.4/56.85/56.55,20250214
002884,凌霄泵业,接近前低17.73,20250214
601699,潞安环能,接近前低12.28,20250217
002353,杰瑞股份,接近前低35.25,20250217
002422,科伦药业,接近前低27.1,20250217
600585,海螺水泥,接近前低23.25,20250217
600660,福耀玻璃,接近前低56.4/56.85/56.55,20250217
002884,凌霄泵业,接近前低17.4,20250217
600750,江中药业,接近前低21.83,20250219
600420,国药现代,接近前低11.2481,20250219
600511,国药股份,接近前低30.97,20250219
601958,金钼股份,接近前低10.24,20250219
002353,杰瑞股份,接近前低35.25,20250217
002959,小熊电器,接近前低41.6/41.65,20250219
002422,科伦药业,接近前低27.1,20250217
600584,长电科技,接近前低38.8,20250219
