code,name,profits_2017,profits_2018,profits_2019,profits_2020,profits_2021
605369,拱东医疗,54.4856,85.6734,113.5896,225.88099999999997,310.9872
688200,华峰测控,52.8114,90.7293,101.9871,199.1907,438.7732
300917,特发服务,34.7812,51.7995,65.3287,99.3051,112.3506
300852,四会富仕,28.4812,63.2994,87.7995,120.4682,184.2442
688369,致远互联,44.6602,72.9777,97.4667,107.5992,128.7894
003013,地铁设计,154.4335,199.3777,236.6089,286.4978,356.5361
300893,松原股份,50.0651,63.4971,80.5924,90.0331,111.2668
688363,华熙生物,222.2689,423.86,585.6084,645.8392,782.3346
003031,中瓷电子,46.5903,58.6869,76.4159,98.1445,121.6558
300873,海晨股份,63.8146,79.5186,128.4216,194.7564,309.2961
300982,苏文电能,48.6111,66.682,127.3027,238.2509,301.1526
688015,交控科技,44.8742,66.3952,127.2915,236.7945,291.0064
688139,海尔生物,60.3915,113.9577,182.0616,380.9541,845.0353
688598,金博股份,28.9687,53.9139,77.6725,168.5752,501.096
603112,华翔股份,119.4254,140.3677,173.7124,244.9989,328.0158
600916,中国黄金,298.7466,361.6099,451.4643,500.1561,794.4323
688100,威胜信息,149.0113,176.9732,217.3753,275.3132,341.4352
003022,联泓新科,55.1972,229.4904,531.8157,640.6086,1090.5698
300850,新强联,40.8576,56.9758,99.8305,424.7206,514.3074
003035,南网能源,126.4472,185.6075,276.2308,398.5758,473.9247
688166,博瑞医药,45.8764,76.2437,111.0833,169.8824,243.951
688311,盟升电子,4.978,32.2772,73.0602,107.0523,134.4318
688278,特宝生物,5.1686,16.0029,64.2939,116.5696,181.201
688777,中控技术,163.4921,284.813,372.0985,423.2634,581.6648
603759,海天股份,74.4277,119.7813,155.1034,174.8873,213.7527
688399,硕世生物,42.6684,63.8246,83.7562,819.5673,1193.2143
688356,键凯科技,21.171999999999997,36.2697,61.5437,85.6789,175.7801
688389,普门科技,56.425,81.14399999999999,100.5597,143.9482,190.3471
688085,三友医疗,30.8861,62.1374,97.8184,118.5588,186.3699
688586,江航装备,60.4701,71.0987,113.1749,193.88,231.1643
688012,中微公司,29.9187,90.8692,188.5642,492.1992,1011.4237
300951,博硕科技,68.1709,91.8914,113.9887,163.9801,236.7399
688211,中科微至,26.3481,42.8914,134.0653,213.2689,259.2072
300957,贝泰妮,153.6308,260.5266,411.9452,543.5079,862.9229
688700,东威科技,45.4362,63.221000000000004,74.2426,87.81200000000001,160.8782
688112,鼎阳科技,19.68,28.9139,35.4289,53.7105,81.0585
688682,霍莱沃,17.8954,29.8208,34.5702,44.628,60.918
688686,奥普特,75.8054,136.8098,206.4469,244.1655,302.8647
301003,江苏博云,31.1413,44.2472,77.1945,110.8624,134.9742
688232,新点软件,146.1432,216.0478,263.4579,412.0623,504.1035
301029,怡合达,63.8211,97.5924,144.3115,271.3507,400.6466
688201,信安世纪,47.4669,78.0956,90.348,107.0326,154.1269
301000,肇民科技,29.8787,53.1709,71.8678,104.2024,116.2696
301129,瑞纳智能,30.2974,44.108000000000004,84.4289,134.2227,171.2617
