code,name,income_2017,income_2018,income_2019,income_2020,income_2021
600346,恒力石化,22287.9664,60067.2552,100782.3711,152373.3957,197970.3449
600486,扬农化工,4438.2282,5290.7258,8701.4717,9831.1564,11841.4644
600397,安源煤业,4130.168,5048.6557,5553.9872,7602.7814,9383.6742
600529,山东药玻,2330.4884,2584.6272,2992.3468,3427.0695,3875.3047
600496,精工钢构,6532.7759,8630.5894,10235.4461,11484.0186,15141.3598
600436,片仔癀,3713.954,4766.1569,5722.2734,6510.781999999999,8021.5505
600039,四川路桥,32762.8211,40019.2214,52725.4766,61069.9075,85048.5124
600392,盛和资源,5203.5598,6226.9641,6959.5185,8157.2516,10616.3491
600459,贵研铂业,15441.6438,17074.0413,21354.9966,28926.4778,36350.9092
600982,宁波能源,1557.8261,1741.0014,3411.6525,4410.6721,6913.741
600406,国电南瑞,24197.9081,28540.3708,32423.5945,38502.4111,42411.0074
600022,山东钢铁,47898.3779,55908.4636,71091.6903,87316.7073,110850.9177
600284,浦东建设,3261.8335,3672.3781,6219.6106,8376.4858,11394.7861
600984,建设机械,1829.1744,2227.295,3251.4069,4001.242,4724.6163
600461,洪城环境,3544.1706,4377.7511,5380.99,6601.1645,8174.3539
002142,宁波银行,25314.32,28930.304,35081.391,41111.0,52774.0
000166,申万宏源,13367.783000000001,15277.4259,24593.4118,29409.186,34307.4281
601919,中远海控,90463.9579,120829.5288,151056.6821,171258.8338,333693.6108
002115,三维通信,1181.4367,3553.6141,5558.891,8738.0542,10263.7125
002100,天康生物,4630.0257,5273.0324,7476.3164,11986.8089,15744.3376
002060,粤水电,6630.4555,8308.3851,11143.485,12583.0249,14361.3138
601872,招商轮船,6095.3496,10931.0974,14556.413,18072.9326,24412.2303
002138,顺络电子,1987.5579,2362.0428,2693.2274,3476.6091,4577.3175
002139,拓邦股份,2682.5684,3406.6975,4098.8554,5560.183000000001,7767.0348
002131,利欧股份,10572.6307,12250.0386,14032.6242,15547.8679,20280.9071
002179,中航光电,6361.8131,7816.0187,9158.8265,10305.2224,12866.8627
002140,东华科技,2908.8384,4034.0466,4517.996,5210.3048,6003.1246
002129,TCL中环,9644.1875,13755.7164,16886.9713,19056.7761,41104.685
002156,通富微电,6519.2552,7222.863,8266.5746,10768.7,15812.2328
002171,楚江新材,11044.025,13107.1065,17047.9721,22974.092,37349.6053
601668,中国建筑,1054106.503,1199324.525,1419836.5880000002,1615023.3269999998,1891338.97
002244,滨江集团,13773.704,21115.4745,24954.5033,28596.7998,37976.3565
601899,紫金矿业,94548.6191,105994.2461,136097.978,171501.3385,225102.4886
002271,东方雨虹,10292.9654,14045.7083,18154.3442,21730.373,31934.201
002371,北方华创,2222.8185,3323.8509999999997,4058.3129,6056.043000000001,9683.4781
002230,科大讯飞,5444.6881,7917.2219,10078.6889,13024.6579,18313.6056
601992,金隅集团,63678.3309,83116.7331,91829.3111,108004.8844,123634.4481
300001,特锐德,5104.9977,5903.6232,6739.0861,7420.6174,9441.0759
